ArrivalDateYear,ArrivalDateDayOfMonth,ArrivalDateWeekNumber,ArrivalDateMonth,Owner,AssignedRoomType,Company,Country,CountryName,CustomerType,DepositType,DistributionChannel,AirBnBType,MarketSegment,Meal,Mealgroup,ReservationStatus,ReservationStatusDate,ReservedRoomType,AmountPaid,Adults,Babies,Children,BookingChanges,DaysInWL,IsCanceled,IsRepeatedGuest,LeadTime,PreviousBookingsNC,PreviousCancellations,RequiredCarParkingSpaces,StaysWeekNights,StaysWeekendNights,Special Requests,Reviews
2015,14,38,September,13,A,,GBR,United Kingdom,Contract,No Deposit,TA/TO,Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,03/07/21,A,84,2,0,0,0,0,0,0,17,0,0,0,2,1,0,2
2015,3,36,September,13,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,13/04/22,A,90.5,2,0,0,0,0,0,0,28,0,0,0,5,2,0,4
2015,26,39,September,13,D,,GRC,Greece,Contract,No Deposit,TA/TO,Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,15/04/22,A,129.2,2,0,0,0,0,0,0,65,0,0,0,2,2,0,4
2015,16,42,October,83,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Offline TA/TO,BB,Breakfast,Check-Out,26/06/21,D,97.9,2,0,0,0,0,0,0,36,0,0,0,2,1,0,3
2015,8,32,August,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,02/09/20,A,80,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4
2015,17,34,August,9,A,,DEU,Germany,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,23/01/24,A,117.3,1,0,0,0,0,0,0,3,0,0,0,2,1,0,5
2015,23,35,August,9,A,,UKR,Ukraine,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,29/05/24,A,80,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2015,29,35,August,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,07/08/23,A,96,1,0,0,0,0,0,0,1,0,0,0,1,2,0,5
2015,12,33,August,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,29/09/24,A,138,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4
2015,13,33,August,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,07/10/22,A,148.7,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1
2015,10,33,August,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,28/05/21,A,96,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3
2015,10,33,August,9,A,,PRT,Portugal,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,10/05/21,A,89,2,0,0,0,0,0,0,1,0,0,0,3,1,0,4
2015,10,33,August,9,A,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,01/02/22,A,105,2,0,0,0,0,0,0,1,0,0,0,3,1,0,5
2015,21,34,August,9,A,,POL,Poland,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,19/07/21,A,90,2,0,0,0,0,0,0,11,0,0,0,2,1,0,4
2015,31,36,August,9,A,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,16/11/24,A,102,2,0,0,0,0,0,0,19,0,0,0,4,1,0,1
2015,10,33,August,9,A,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,10/04/23,A,105,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1
2015,19,34,August,9,A,,BEL,Belgium,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,23/10/22,A,99.1,2,0,0,0,0,0,0,2,0,0,0,5,2,0,5
2015,12,33,August,9,D,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,02/11/24,A,138,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1
2015,17,34,August,9,D,,ROU,Romania,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,25/11/23,A,138,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2015,24,35,August,9,D,,ESP,Spain,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,14/08/21,A,90,2,0,0,0,0,0,0,6,0,0,0,2,1,0,2
2015,11,33,August,9,E,,FRA,France,Contract,No Deposit,TA/TO,Prime Location,Online TA,BB,Breakfast,Check-Out,04/02/22,A,124,2,0,0,1,0,0,0,0,0,0,0,3,0,0,3
