Country Name,Budget 
United Kingdom,428366629
Spain,867999488
Greece,683801446
France,121186351
Germany,140407447
Ukraine,467516763
Portugal,677359267
Poland,115053397
Belgium,687716318
Romania,478514755
Angola,858013156
Brazil,189387544
Sweden,712943025
Netherlands,575989122
Switzerland,473379241
Czechia,205815330
Italy,221628724
Australia,296370725
Austria,893788496
Iraq,641236873
Ireland,350291119
Belarus,542990528
Lithuania,813960496
Luxembourg,529600165
Argentina,595478692
Latvia,524101392
Finland,853342832
United States,384637043
Iran,651195552
Egypt,679535827
Denmark,236412271
Algeria,887773896
Ethiopia,487688255
Israel,400384087
Japan,859507066
Cameroon,244931449
Norway,177409640
Morocco,139747513
China,642843044
Colombia,577772826
Russia,858720775
Turkey (Turkiye),539662292
Mexico,728908796
Hungary,313471559
Serbia,547721447
Croatia,412238471
Slovenia,483324094
India,572091861
Lebanon,344086702
